idapplicazioneprodotto,idprodottofitosanitario,coltura,dose
1,1,pomodoro,"1.5 l/ha"
2,1,barbabietola,"1.5 l/ha"
3,1,soia,"1.25 l/ha"
4,1,girasole,"1.5 l/ha"
5,1,patata,"1.5 l/ha"
6,1,riso,"0.75 l/ha"
7,1,carciofo,"1.5 l/ha"
8,1,carota,"1.0 l/ha"
9,1,cipolla,"1.0 l/ha"
10,1,vite,"1.5 l/ha"
11,2,vite,"2 l/ha"
12,2,melo,"2.5 l/ha"
13,2,"pero ","2.5 l/ha"
14,2,agrumi,"1.5 l/ha"
15,2,olivo,"2 l/ha"
16,2,mandorlo,"2 l/ha"
17,2,fragola,"1.25 l/ha"
18,2,pomodoro,"2 l/ha"
19,2,carciofo,"1.5 l/ha"
20,2,melanzana,"1.5 l/ha"
21,3,frumento,"1.5 l/ha"
22,3,farro,"1.5 l/ha"
23,3,orzo,"1.5 l/ha"
24,3,segale,"1.5 l/ha"
25,3,avena,"1.5 l/ha"
26,4,agrumi,"0.2 l/ha"
27,4,pomodoro,"0.2 l/ha"
28,4,melo,"0.36 l/ha"
29,4,pero,"0.36 l/ha"
30,4,vite,"0.32 l/ha"
31,4,melanzana,"0.2 l/ha"
32,4,peperone,"0.2 l/ha"
33,4,soia,"0.4 l/ha"
34,4,cetriolo,"0.16 l/ha"
35,5,vite,"4 kg/ha"
36,5,pomodoro,"5 kg/ha"
37,5,fragola,"5 kg/ha"
38,5,melanzana,"7.5 kg/ha"
39,5,peperone,"7.5 kg/ha"
40,5,patata,"5 kg/ha"
41,5,mandorlo,"5 kg/ha"
42,5,carciofo,"7.5 kg/ha"
43,5,finocchio,"7.5 kg/ha"
44,6,pomodoro,"10 l/ha"
45,6,peperone,"10 l/ha"
46,6,melanzana,"10 l/ha"
47,6,cetriolo,"10 l/ha"
48,7,pomodoro,"55 kg/ha"
49,7,peperone,"55 kg/ha"
50,7,carota,"25 kg/ha"
51,7,patata,"55 kg/ha"
52,7,melanzana,"55 kg/ha"
53,8,agrumi,"0.8 kg/ha"
54,8,pomodoro,"1 kg/ha"
55,8,olivo,"0.8 kg/ha"
56,8,vite,"1 kg/ha"
57,8,mais,"1 kg/ha"
58,8,patata,"1 kg/ha"
59,8,fragola,"1 kg/ha"
60,8,carciofo,"1 kg/ha"
61,8,riso,"2 kg/ha"
62,8,soia,"1 kg/ha"
63,8,girasole,"1 kg/ha"
64,8,finocchio,"1.65 kg/ha"
65,8,fagiolo,"0.85 kg/ha"
66,8,zucchino,"1.65 kg/ha"
67,8,barbabietola,"1.65 kg/ha"
68,8,peperone,"1 kg/ha"
69,8,lattuga,"2 kg/ha"
70,8,melanzana,"1 kg/ha"
